Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CareerAtCompany_ratio,RoleStability_ratio,ManagerStability_ratio,CareerStart_Age,IncomePerExperience,BurnoutRisk,Satisfaction_Composite,Stability_Score,Stress_Amplifier
32,1,1045,2,4,4,3,4,1,32,1,3,7,4,1,10400,25812,1,0,11,3,0,14,2,2,14,8,9,8,1.0,0.5714285714285714,0.5714285714285714,18,742.8571428571429,0,3.6666666666666665,0.7142857142857143,2
46,1,669,2,9,2,3,3,1,64,2,3,7,4,2,9619,13596,1,0,16,4,0,9,3,3,9,8,4,7,1.0,0.8888888888888888,0.7777777777777778,37,1068.7777777777778,1,3.6666666666666665,0.8888888888888888,0
40,2,902,1,26,2,3,3,0,92,2,2,6,4,1,4422,21203,3,1,13,4,1,16,3,1,1,1,0,0,0.0625,1.0,0.0,24,276.375,2,3.6666666666666665,0.3541666666666667,4
38,1,1153,1,6,2,4,4,0,40,2,1,2,3,1,3702,16376,1,0,11,2,1,5,3,3,5,4,0,4,1.0,0.8,0.8,33,740.4,1,3.0,0.8666666666666667,0
38,1,322,2,7,2,3,1,0,44,4,2,7,1,0,5605,19191,1,1,24,3,1,8,3,3,8,0,7,7,1.0,0.0,0.875,30,700.625,0,1.6666666666666667,0.625,3
47,0,666,1,29,4,1,1,1,88,3,3,3,2,1,11849,10268,1,1,12,4,1,10,2,2,10,7,9,9,1.0,0.7,0.9,37,1184.9,2,2.3333333333333335,0.8666666666666667,5
50,2,333,1,22,5,3,3,1,88,1,4,5,4,2,14411,24450,1,1,13,4,0,32,2,3,32,6,13,9,1.0,0.1875,0.28125,18,450.34375,0,3.6666666666666665,0.4895833333333333,2
25,1,949,1,1,3,5,1,1,81,3,1,2,4,1,3229,4910,4,0,11,2,1,7,2,2,3,2,0,2,0.42857142857142855,0.6666666666666666,0.6666666666666666,18,461.2857142857143,0,2.3333333333333335,0.5873015873015873,2
41,0,247,1,7,1,1,2,0,55,1,5,5,3,0,19973,20284,1,0,22,2,2,21,3,3,21,16,5,10,1.0,0.7619047619047619,0.47619047619047616,20,951.0952380952381,1,2.3333333333333335,0.746031746031746,0
32,1,824,1,5,2,1,4,0,67,2,2,6,2,1,5878,15624,3,0,12,1,1,12,2,3,7,1,2,5,0.5833333333333334,0.14285714285714285,0.7142857142857143,20,489.8333333333333,1,2.3333333333333335,0.48015873015873023,1
37,1,589,2,9,2,2,2,1,46,2,2,7,2,1,4189,8800,1,0,14,1,2,5,2,3,5,2,0,3,1.0,0.4,0.6,32,837.8,1,1.6666666666666667,0.6666666666666666,1
35,1,1229,1,8,1,1,4,1,36,4,1,2,4,1,2269,4892,1,0,19,4,0,1,2,3,1,0,0,1,1.0,0.0,1.0,34,2269.0,1,4.0,0.6666666666666666,0
39,1,722,2,24,1,2,2,0,60,2,4,7,4,1,12031,8828,0,0,11,1,1,21,2,2,20,9,9,6,0.9523809523809523,0.45,0.3,18,572.9047619047619,0,2.3333333333333335,0.5674603174603174,2
41,2,1018,2,1,3,2,3,0,66,3,2,7,1,0,4103,4297,0,0,17,4,1,10,2,3,9,3,1,7,0.9,0.3333333333333333,0.7777777777777778,31,410.3,1,2.6666666666666665,0.6703703703703704,1
36,1,329,1,2,3,1,4,0,96,3,1,6,3,1,2543,11868,4,0,13,2,1,6,3,3,2,2,2,2,0.3333333333333333,1.0,1.0,30,423.8333333333333,1,3.0,0.7777777777777777,0
43,1,1372,2,9,3,2,1,0,85,1,2,7,3,2,5346,9489,8,0,13,2,0,7,2,2,4,3,1,3,0.5714285714285714,0.75,0.75,36,763.7142857142857,0,2.0,0.6904761904761904,2
18,2,1306,2,5,3,2,2,1,69,3,1,8,2,2,1878,8059,1,1,14,4,0,0,3,3,0,0,0,0,0.0,0.0,0.0,18,1878.0,0,2.6666666666666665,0.0,3
29,1,592,1,7,3,1,4,1,59,3,1,2,1,2,2062,19384,3,0,14,2,0,11,2,3,3,2,1,2,0.2727272727272727,0.6666666666666666,0.6666666666666666,18,187.45454545454547,1,2.3333333333333335,0.5353535353535354,1
46,1,1003,1,8,4,1,4,0,74,2,2,6,1,0,4615,21029,8,1,23,1,3,19,2,3,16,13,1,7,0.8421052631578947,0.8125,0.4375,27,242.89473684210526,0,2.0,0.6973684210526315,3
36,0,635,2,10,4,3,2,1,32,3,3,7,4,2,9980,15318,1,0,14,4,0,10,3,2,10,3,9,7,1.0,0.3,0.7,26,998.0,0,3.3333333333333335,0.6666666666666666,2
50,1,939,1,24,3,1,4,1,95,3,4,4,3,1,13973,4161,3,1,18,4,1,22,2,3,12,11,1,5,0.5454545454545454,0.9166666666666666,0.4166666666666667,28,635.1363636363636,0,3.6666666666666665,0.6262626262626262,2
44,2,383,2,1,5,2,1,0,79,3,2,7,3,1,4768,9282,7,0,12,3,1,11,4,2,1,0,0,0,0.09090909090909091,0.0,0.0,33,433.45454545454544,0,2.3333333333333335,0.030303030303030304,2
30,1,413,2,7,1,2,4,1,57,3,1,8,2,2,2983,18398,0,0,14,1,0,4,3,3,3,2,1,2,0.75,0.6666666666666666,0.6666666666666666,26,745.75,1,2.3333333333333335,0.6944444444444443,1
36,0,845,2,1,5,3,4,0,45,3,2,7,4,2,6653,15276,4,0,15,2,0,7,6,3,1,0,0,0,0.14285714285714285,0.0,0.0,29,950.4285714285714,1,3.3333333333333335,0.047619047619047616,0
46,1,705,2,2,4,2,2,0,83,3,5,3,1,2,18947,22822,3,0,12,4,0,22,2,2,2,2,2,1,0.09090909090909091,1.0,0.5,24,861.2272727272727,0,2.3333333333333335,0.5303030303030303,3
45,0,1050,2,9,4,1,2,0,65,2,2,7,3,1,5593,17970,1,0,13,4,1,15,2,3,15,10,4,12,1.0,0.6666666666666666,0.8,30,372.8666666666667,1,3.0,0.8222222222222223,0
56,1,1369,1,23,3,1,4,1,68,3,4,4,2,1,13402,18235,4,1,12,1,1,33,0,3,19,16,15,9,0.5757575757575758,0.8421052631578947,0.47368421052631576,23,406.1212121212121,0,2.3333333333333335,0.630515683147262,3
37,2,889,1,9,3,3,2,1,53,3,1,6,4,1,2326,11411,1,1,12,3,3,4,3,2,4,2,1,2,1.0,0.5,0.5,33,581.5,2,3.0,0.6666666666666666,4
34,2,1069,1,2,1,1,4,1,45,2,2,4,3,1,9547,14074,1,0,17,3,0,10,2,2,10,9,1,9,1.0,0.9,0.9,24,954.7,0,3.3333333333333335,0.9333333333333332,2
36,1,1278,0,8,3,1,1,1,77,2,1,1,1,1,2342,8635,0,0,21,3,0,6,3,3,5,4,0,3,0.8333333333333334,0.8,0.6,30,390.3333333333333,1,1.6666666666666667,0.7444444444444445,1
34,1,131,2,2,3,2,3,0,86,3,2,7,1,2,4538,6039,0,1,12,4,0,4,3,3,3,2,0,2,0.75,0.6666666666666666,0.6666666666666666,30,1134.5,0,2.6666666666666665,0.6944444444444443,3
30,1,1275,1,28,2,3,4,0,64,3,2,6,4,1,5775,11934,1,0,13,4,2,11,2,3,10,8,1,9,0.9090909090909091,0.8,0.9,19,525.0,1,4.0,0.8696969696969696,0
29,1,991,2,5,3,3,1,1,43,2,2,7,2,0,4187,3356,1,1,13,2,1,10,3,2,10,0,0,9,1.0,0.0,0.9,19,418.7,2,1.6666666666666667,0.6333333333333333,5
29,1,726,1,29,1,1,4,1,93,1,2,0,3,0,6384,21143,8,0,17,4,2,11,3,3,7,0,1,6,0.6363636363636364,0.0,0.8571428571428571,18,580.3636363636364,1,3.6666666666666665,0.4978354978354978,0
55,2,135,1,18,4,3,3,1,62,3,2,0,2,1,6385,12992,3,1,14,4,2,17,3,3,8,7,6,7,0.47058823529411764,0.875,0.875,38,375.5882352941176,0,3.0,0.7401960784313726,3
50,1,989,1,7,2,3,2,0,43,2,5,5,3,0,18740,16701,5,1,12,4,1,29,2,2,27,3,13,8,0.9310344827586207,0.1111111111111111,0.2962962962962963,21,646.2068965517242,2,3.0,0.4461472967220093,4
37,1,446,1,1,4,1,2,0,65,3,2,4,2,1,6447,15701,6,0,12,2,1,8,2,2,6,5,4,3,0.75,0.8333333333333334,0.5,29,805.875,0,2.0,0.6944444444444445,3
38,2,471,1,12,3,1,1,1,45,2,2,0,1,0,6288,4284,2,0,15,3,1,13,3,2,4,3,1,2,0.3076923076923077,0.75,0.5,25,483.6923076923077,0,1.6666666666666667,0.5192307692307693,3
31,2,307,1,29,2,3,3,1,71,2,1,2,2,2,3479,11652,0,0,11,2,0,6,2,4,5,4,1,4,0.8333333333333334,0.8,0.8,25,579.8333333333334,1,2.3333333333333335,0.8111111111111112,1
35,1,1137,1,21,1,1,4,0,51,3,2,0,4,1,4014,19170,1,1,25,4,1,10,2,1,10,6,0,7,1.0,0.6,0.7,25,401.4,2,4.0,0.7666666666666666,4
34,0,1381,2,4,4,2,3,0,72,3,2,7,3,1,6538,12740,9,0,15,1,1,6,3,3,3,2,1,2,0.5,0.6666666666666666,0.6666666666666666,28,1089.6666666666667,1,2.3333333333333335,0.611111111111111,0
58,2,1216,1,15,4,1,1,1,87,3,4,5,3,1,15787,21624,2,1,14,2,0,23,3,3,2,2,2,2,0.08695652173913043,1.0,1.0,35,686.3913043478261,0,2.0,0.6956521739130435,2
22,1,1294,1,8,1,3,3,0,79,3,1,2,1,1,2398,15999,1,1,17,3,0,1,6,3,1,0,0,0,1.0,0.0,0.0,21,2398.0,0,2.3333333333333335,0.3333333333333333,3
28,1,103,1,24,3,1,3,1,50,2,1,2,3,2,2028,12947,5,1,14,2,0,6,4,3,4,2,0,3,0.6666666666666666,0.5,0.75,22,338.0,0,2.6666666666666665,0.6388888888888888,2
27,1,1302,1,19,3,4,4,1,67,2,1,2,1,0,4066,16290,1,0,11,1,2,7,3,3,7,7,0,7,1.0,1.0,1.0,20,580.8571428571429,1,2.0,1.0,1
40,1,676,1,9,4,1,4,1,86,3,1,2,1,2,2018,21831,3,0,14,2,0,15,3,1,5,4,1,0,0.3333333333333333,0.8,0.0,25,134.53333333333333,0,2.3333333333333335,0.37777777777777777,3
55,1,692,1,14,4,3,3,1,61,4,5,5,2,2,18722,13339,8,0,11,4,0,36,3,3,24,15,2,15,0.6666666666666666,0.625,0.625,19,520.0555555555555,1,3.0,0.6388888888888888,1
34,0,1362,2,19,3,2,1,1,67,4,2,7,4,2,5304,4652,8,1,13,2,0,9,3,2,5,2,0,4,0.5555555555555556,0.4,0.8,25,589.3333333333334,2,2.3333333333333335,0.5851851851851851,4
37,1,367,1,25,2,3,3,0,52,2,2,0,4,0,5731,17171,7,0,13,3,2,9,2,3,6,2,1,3,0.6666666666666666,0.3333333333333333,0.5,28,636.7777777777778,1,3.3333333333333335,0.5,0
23,1,885,1,4,3,3,1,1,58,4,1,6,1,1,2819,8544,2,0,16,1,1,5,3,4,3,2,0,2,0.6,0.6666666666666666,0.6666666666666666,18,563.8,1,1.0,0.6444444444444444,1
34,2,988,0,23,3,0,2,0,43,3,3,1,1,0,9950,11533,9,1,15,3,3,11,2,3,3,2,0,2,0.2727272727272727,0.6666666666666666,0.6666666666666666,23,904.5454545454545,0,2.0,0.5353535353535354,3
30,1,1358,2,16,1,1,4,1,96,3,2,7,3,1,5301,2939,8,0,15,3,2,4,2,2,2,1,2,2,0.5,0.5,1.0,26,1325.25,0,3.3333333333333335,0.6666666666666666,2
35,1,735,1,6,1,1,3,1,66,3,1,6,3,1,3506,6020,0,1,14,4,0,4,3,3,3,2,2,2,0.75,0.6666666666666666,0.6666666666666666,31,876.5,0,3.3333333333333335,0.6944444444444443,2
19,1,645,1,9,2,1,3,1,54,3,1,6,1,2,2552,7172,1,0,25,3,0,1,4,3,1,1,0,0,1.0,1.0,0.0,18,2552.0,1,2.3333333333333335,0.6666666666666666,1
41,1,802,2,9,1,1,3,1,96,3,3,7,3,0,8189,21196,3,1,13,3,1,12,2,3,9,7,0,7,0.75,0.7777777777777778,0.7777777777777778,29,682.4166666666666,0,3.0,0.7685185185185185,2
36,1,1351,1,26,4,1,1,1,80,3,2,0,3,1,5347,7419,6,0,14,2,2,10,2,2,3,2,0,2,0.3,0.6666666666666666,0.6666666666666666,26,534.7,0,2.0,0.5444444444444444,2
31,2,534,1,20,3,1,1,1,66,3,3,0,3,1,9824,22908,3,0,12,1,0,12,2,3,1,0,0,0,0.08333333333333333,0.0,0.0,19,818.6666666666666,1,1.6666666666666667,0.027777777777777776,0
37,0,1252,2,19,2,3,1,1,32,3,3,7,2,2,7642,4814,1,1,13,4,0,10,2,3,10,0,0,9,1.0,0.0,0.9,27,764.2,0,2.3333333333333335,0.6333333333333333,3
32,1,1373,1,5,4,1,4,1,56,2,2,4,4,2,9679,10138,8,0,24,2,0,8,1,3,1,0,0,0,0.125,0.0,0.0,24,1209.875,1,3.3333333333333335,0.041666666666666664,0
26,1,1357,1,25,3,1,1,1,48,1,1,2,3,2,2293,10558,1,0,12,3,0,1,2,2,1,0,0,1,1.0,0.0,1.0,25,2293.0,0,2.3333333333333335,0.6666666666666666,2
46,1,1450,1,15,2,1,4,1,52,3,5,5,2,1,19081,10849,5,0,11,1,1,25,2,3,4,2,0,3,0.16,0.5,0.75,21,763.24,1,2.3333333333333335,0.47000000000000003,1
51,1,432,1,9,4,1,4,1,96,3,1,2,4,1,2075,18725,3,0,23,2,2,10,4,3,4,2,0,3,0.4,0.5,0.75,41,207.5,1,3.3333333333333335,0.5499999999999999,0
27,1,975,1,7,3,3,4,0,55,2,2,0,1,2,6811,23398,8,0,19,1,0,9,2,1,7,6,0,7,0.7777777777777778,0.8571428571428571,1.0,18,756.7777777777778,0,2.0,0.8783068783068783,3
34,2,1003,1,2,2,1,4,1,95,3,2,4,3,2,4033,15834,2,0,11,4,0,5,3,2,3,2,0,2,0.6,0.6666666666666666,0.6666666666666666,29,806.6,0,3.6666666666666665,0.6444444444444444,2
35,1,1361,2,17,4,1,3,1,94,3,2,7,1,1,8966,21026,3,1,15,4,3,15,2,3,7,7,1,7,0.4666666666666667,1.0,1.0,20,597.7333333333333,0,2.6666666666666665,0.8222222222222223,3
42,2,748,1,9,2,3,1,0,74,3,1,2,4,2,3673,16458,1,0,13,3,0,12,3,3,12,9,5,8,1.0,0.75,0.6666666666666666,30,306.0833333333333,1,2.6666666666666665,0.8055555555555555,0
33,1,213,1,7,3,3,3,1,49,3,3,5,3,1,11691,25995,0,0,11,4,0,14,3,4,13,9,3,7,0.9285714285714286,0.6923076923076923,0.5384615384615384,19,835.0714285714286,1,3.3333333333333335,0.7197802197802198,0
28,1,654,1,1,2,1,1,0,67,1,1,6,2,2,2216,3872,7,1,13,4,0,10,4,3,7,7,3,7,0.7,1.0,1.0,18,221.6,0,2.3333333333333335,0.9,3
30,0,829,1,1,1,1,3,1,88,2,3,4,3,2,8474,20925,1,0,22,3,0,12,2,3,11,8,5,8,0.9166666666666666,0.7272727272727273,0.7272727272727273,18,706.1666666666666,1,3.0,0.7904040404040403,0
45,1,1329,1,2,2,4,4,0,59,2,2,4,4,0,5770,5388,1,0,19,1,2,10,3,3,10,7,3,9,1.0,0.7,0.9,35,577.0,1,3.0,0.8666666666666667,0
53,1,238,2,1,1,3,4,0,34,3,2,7,1,2,8381,7507,7,0,20,4,0,18,2,4,14,7,8,10,0.7777777777777778,0.5,0.7142857142857143,35,465.6111111111111,1,3.0,0.6640211640211641,1
26,1,652,1,7,3,4,3,1,100,4,1,2,1,2,3578,23577,0,0,12,4,0,8,2,3,7,7,0,7,0.875,1.0,1.0,18,447.25,1,2.6666666666666665,0.9583333333333334,1
29,1,986,1,3,4,3,2,1,93,2,3,5,3,1,11935,21526,1,0,18,3,0,10,2,3,10,2,0,7,1.0,0.2,0.7,19,1193.5,1,2.6666666666666665,0.6333333333333333,0
30,1,855,2,7,4,2,4,0,73,3,2,7,1,0,4779,12761,7,0,14,2,2,8,3,3,3,2,0,2,0.375,0.6666666666666666,0.6666666666666666,22,597.375,1,2.3333333333333335,0.5694444444444443,1
38,1,723,2,2,4,2,2,0,77,1,2,8,4,1,5405,4244,2,1,20,1,2,20,4,2,4,2,0,3,0.2,0.5,0.75,18,270.25,2,2.3333333333333335,0.48333333333333334,4
38,1,364,1,3,5,5,4,0,32,3,2,6,3,2,4317,2302,3,1,20,2,0,19,2,3,3,2,2,2,0.15789473684210525,0.6666666666666666,0.6666666666666666,19,227.21052631578948,0,3.0,0.4970760233918128,2
28,1,1300,1,17,2,3,3,1,79,3,2,2,1,0,4558,13535,1,0,12,4,1,10,2,3,10,0,1,8,1.0,0.0,0.8,18,455.8,1,2.6666666666666665,0.6,1
39,1,408,1,2,4,5,4,0,80,2,2,0,3,2,4553,20978,1,0,11,1,0,20,4,3,20,7,11,10,1.0,0.35,0.5,19,227.65,1,2.6666666666666665,0.6166666666666667,0
38,1,371,1,2,3,1,4,1,45,3,1,6,4,2,3944,4306,5,1,11,3,0,6,3,3,3,2,1,2,0.5,0.6666666666666666,0.6666666666666666,32,657.3333333333334,0,3.6666666666666665,0.611111111111111,2
40,0,663,1,9,4,4,3,1,81,3,2,2,3,0,3975,23099,3,0,11,3,2,11,2,4,8,7,0,7,0.7272727272727273,0.875,0.875,29,361.3636363636364,1,3.0,0.8257575757575758,0
